Number of iterations;100;;;;
Reserve;0;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;813.0075999999999;874.6926865523914;414.3717;4.212036407726197
1;Truthful;718.3937;870.6730316917542;374.8488;4.226132421760586
2;Truthful;844.1767;842.9814902879602;426.6203;3.8026217693705746
3;Truthful;826.4321000000001;874.8999094539845;421.2783;4.591894772772021
4;Truthful;701.4680000000001;788.2839699321557;392.14910000000003;4.2430460503769005
5;Truthful;690.1513;677.9925237311322;382.4332;3.6094457149230004
6;Truthful;781.653;942.5884002336331;387.11120000000005;4.39460843678433
7;Truthful;693.1321;741.5726945516467;349.40590000000003;3.6763591979591705
8;Truthful;815.1617;871.2068416237961;400.2371;4.073437955322138
9;Truthful;774.9087;883.460611570946;396.51550000000003;4.055230560729562
10;Seller;7658.4849;1313.1153166965155;0;0
