Number of iterations;20;;;;
Reserve;40;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;657.609;857.1269309903872;86.14450000000001;6.958210614940813
1;Truthful;1823.15;1221.244458005849;91.3995;5.4493283106154475
2;Truthful;1007.083;1125.0580811633686;136.9445;9.702005103939856
3;Truthful;1196.7835;976.8697768805984;113.926;6.494981854093204
4;Truthful;1249.042;1142.89284852343;112.981;7.682488214927504
5;Truthful;548.793;527.7860632405899;141.692;11.577090596950516
6;Truthful;698.9395000000001;679.2095530502718;63.612;4.097990851014678
7;Truthful;1021.351;1027.2774760302107;183.1005;9.188516126767965
8;Truthful;1430.206;1539.891818126845;117.87750000000001;6.698143121184782
9;Truthful;1164.93;1480.9598100758844;81.022;7.2078354441538135
10;Seller;10797.887;1431.8131309535474;0;0
